,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
52850,Twitter,United States,North America,North America,35-39,37.0,Male,Sr. Developer; Manager,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$100,000 - $110,000",105000.0,4.93,C#; JavaScript,C#; F#; JavaScript; Node.js; ReactJS,Yes,7.0,Employed full-time,Finance / Banking,20-99 employees,1-4 people,1,I rarely work remotely,I love my job,LinkedIn,Notepad++; Visual Studio,Once a day,2-5 hours per week,Dogs,Windows 7,Yes,"5,001 - 10,000",Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field),I am not interested in new job opportunities,Salary; Health insurance; Company size; Company financials; Work/life balance; Opportunity for advancement; Quality of colleagues; Company culture; Building something that's significant; Remote working option; Flexible work hours,Writing my CV and keeping it updated,20%,Introduce me to the boss; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Disagree completely,Neutral,Agree completely,Agree somewhat,Neutral,Neutral,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is very important,I don't care about this,I don't care about this,Inefficient development processes; Fragile code base; Changing requirements; Unspecific requirements,To get help for my job; To give help to others; Beacause I love to learn
52851,Twitter,United States,North America,North America,30-34,32.0,Male,Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"$40,000 - $50,000",45000.0,4.93,JavaScript; Python; Redis,Python; Redis,No,6.0,Employed full-time,Media / Advertising,100-499 employees,1-4 people,2,Never,I'm somewhat satisfied with my job,I knew I wanted to work here. I sought out the opportunity directly,Sublime,Multiple times a day,1-2 hours per week,Dogs,Mac OS X,Yes,"501 - 1,000",Multiple times a day,I want to be a better developer,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Remote working option; Flexible work hours,Finding an open job that I'm qualified for,10%,Show me more live code,Star Wars,Agree completely,Agree completely,Agree completely,Neutral,Disagree completely,Disagree somewhat,Agree somewhat,Agree completely,Agree somewhat,Agree completely,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,Inefficient development processes; Fragile code base; Non-technical management,To get help for my job; To give help to others; To demonstrate that I'm good at what I do
52862,Twitter,United States,North America,North America,25-29,27.0,Male,Developer; Engineer,Analyst,Analyst,2 - 5 years,3.5,"$60,000 - $70,000",65000.0,4.93,Android; AngularJS; C#; Java; JavaScript,Android; AngularJS; C#; Java; JavaScript,Yes,8.0,Employed full-time,Government,"10,000+ employees",I am not on a team,"I am not on a ""team""",Part-time remote,I hate my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Notepad++; Android Studio; Visual Studio; Visual Studio Code,Multiple times a day,2-5 hours per week,Other (please specify),Windows 10,Yes,"501 - 1,000",Once a day,I'm curious,I'm self-taught; B.S. in Computer Science (or related field),I am actively looking for a new job,Salary; Health insurance; Work/life balance; Company culture; Company reputation; Remote working option; Flexible work hours,Writing cover letters,50%,Be more flexible about interview scheduling; Introduce me to the team; Show me the space in which I will work,Star Trek,Disagree completely,Agree completely,Agree completely,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Agree somewhat,Agree completely,Neutral,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,Corporate policies; Poor infrastructure or equipment; Limited resources,To get help for my job; To give help to others; To discover new job opportunities
24074,Twitter,Uruguay,South America,South America,30-34,32.0,Male,Developer; Engineer; Full-stack Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"$20,000 - $30,000",25000.0,,JavaScript; Ruby,JavaScript; Ruby,No,7.0,Employed full-time,Internet,20-99 employees,1-4 people,0,I rarely work remotely,I love my job,Other,Sublime; Vim,Multiple times a day,1-2 hours per week,Dogs,Mac OS X,Yes,1,Multiple times a day,I want to be a better developer,B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Tech stack; Work/life balance; Company culture,Finding an open job that I'm qualified for,30%,Show me the space in which I will work; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree completely,Agree somewhat,Agree completely,Agree completely,Disagree completely,Disagree somewhat,Neutral,Neutral,Agree completely,Disagree somewhat,I don't care about this,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,I don't care about this,Unrealistic expectations; Outdated technologies; Unspecific requirements,To get help for my job; To receive help on my personal projects; Beacause I love to learn
24349,Twitter,Uruguay,South America,South America,35-39,37.0,Male,Engineer; Sr. Developer,Mobile developer - iOS,"Mobile Dev (Android, iOS, WP & Multi-Platform)",Less than 1 year,0.5,"$30,000 - $40,000",35000.0,,iOS; Objective-C; Swift,iOS; Swift,Other (please specify),9.0,Employed full-time,Software Products,100-499 employees,20+ people,2,I rarely work remotely,I love my job,Contacted by company (in-house recruiter),Notepad++; Sublime; Visual Studio; Xcode,Multiple times a day,None,Dogs,Mac OS X,Yes,"1,001 - 5,000",Multiple times a day,I want to be a better developer,B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Company culture; Company reputation; Flexible work hours; Building something that's innovative,Other (please specify),50%,,Star Wars,Agree completely,Agree somewhat,Agree somewhat,Agree completely,Neutral,Disagree completely,Agree somewhat,Disagree completely,Neutral,Agree somewhat,This is very important,This is somewhat important,This is very important,This is somewhat important,This is very important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,Fragile code base; Poor documentation,To get help for my job; To give help to others
24354,Twitter,Uruguay,South America,South America,35-39,37.0,Male,Developer; Engineer; Programmer; Sr. Developer,Mobile developer - Android,"Mobile Dev (Android, iOS, WP & Multi-Platform)",11+ years,13.0,"$40,000 - $50,000",45000.0,,"Android; C#; Cloud (AWS, GAE, Azure, etc.); Java; SQL","Android; C#; Cloud (AWS, GAE, Azure, etc.); iOS; Java; SQL; Swift; Windows Phone",No,7.0,Employed full-time,Software Products,100-499 employees,15-20 people,2,I rarely work remotely,I'm neither satisfied nor dissatisfied,A friend referred me,Notepad++; Android Studio; Eclipse; Visual Studio,Multiple times a day,None,Dogs,Windows 10,I don't know,"501 - 1,000",Once a week,I want to be a better developer,"Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)","I'm not actively looking, but I am open to new opportunities",Salary; Industry; Opportunity for advancement; Office location; Quality of colleagues; Company reputation; Building something that's significant; Remote working option; Flexible work hours,Finding time to search for a job,50%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Introduce me to the team,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Disagree completely,Neutral,Neutral,Neutral,Disagree completely,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,Inefficient development processes; Fragile code base; Unrealistic expectations; Poor documentation,To get help for my job; To give help to others
24474,Twitter,Uruguay,South America,South America,40-49,44.5,Male,Engineer; Hacker,Embedded application developer,Embedded application developer,6 - 10 years,8.0,"$40,000 - $50,000",45000.0,,C; C++; Matlab,C; C++; Clojure; Hadoop; Python; R,No,6.0,Employed full-time,Education,100-499 employees,10-14 people,2,Part-time remote,I love my job,Contacted by company (in-house recruiter),Emacs,A couple times a week,2-5 hours per week,Cats,Mac OS X,Yes,"5,001 - 10,000",Multiple times a day,To keep my skills up to date,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Salary; Office location; Company culture; Building something that's significant,Finding an open job that I'm qualified for,10%,Introduce me to the boss; Introduce me to the team; interview_coffee,,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Neutral,Agree somewhat,Disagree completely,Agree somewhat,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,I don't care about this,I don't care about this,This is somewhat important,I don't care about this,Corporate policies; Interacting with stupid people,To get help for my job; To give help to others; Beacause I love to learn
50435,Twitter,Uruguay,South America,South America,40-49,44.5,Male,Developer; Programmer; Manager,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$110,000 - $120,000",115000.0,,C#; JavaScript; LAMP; PHP; SQL; SQL Server,"Cloud (AWS, GAE, Azure, etc.)",Yes,7.0,Employed full-time,Consulting,100-499 employees,10-14 people,4,Part-time remote,I love my job,A friend referred me,Notepad++; Sublime; Visual Studio,Once a day,2-5 hours per week,Cats,Mac OS X,I don't know,"5,001 - 10,000",Multiple times a day,I'm curious,I'm self-taught,I am not interested in new job opportunities,Health insurance; Work/life balance; Remote working option,Finding time to search for a job,,,Star Wars,Agree completely,Agree completely,Agree completely,Neutral,Agree completely,Disagree completely,Neutral,Disagree somewhat,Agree somewhat,Agree somewhat,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,Poor team dynamics; Inefficient development processes; Fragile code base; Limited resources,To get help for my job; To give help to others
47497,Twitter,Uzbekistan,Central Asia,Central Asia,20-24,22.0,Male,Programmer; Full-stack Developer; Full Stack Overflow Developer,Full-stack web developer,Full-stack web developer,1 - 2 years,1.5,"Less than $10,000",5000.0,,C; C++; Go; R; ReactJS; Redis; Ruby; Rust; Scala; SQL,Cassandra; R; Scala,Other (please specify),4.0,I'm a student,,,,,,,,Vim,Multiple times a day,5-10 hours per week,Cats,Debian,Yes,101 - 500,Multiple times a day,I'm curious,I'm self-taught,I am actively looking for a new job,Building something that's innovative,Writing cover letters,20%,Show me more live code; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Disagree somewhat,Agree completely,Agree somewhat,Agree completely,Neutral,Disagree somewhat,Disagree completely,Agree completely,Neutral,Disagree completely,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,Poor team dynamics; Fragile code base; Poor documentation; Non-technical management; Interacting with non-technical people; Limited resources,To get help for my job; To give help to others; To communicate with others like me; Beacause I love to learn
47519,Twitter,Uzbekistan,Central Asia,Central Asia,20-24,22.0,Male,Programmer,Full-stack web developer,Full-stack web developer,1 - 2 years,1.5,"Less than $10,000",5000.0,,JavaScript; Python,Android; Java; JavaScript; Python,No,4.0,Employed part-time,Software Products,20-99 employees,5-9 people,1,I rarely work remotely,I'm neither satisfied nor dissatisfied,A friend referred me,Android Studio; IntelliJ; PyCharm,Multiple times a day,10-20 hours per week,Dogs,Ubuntu,Yes,"1,001 - 5,000",Multiple times a day,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Opportunity for advancement; Quality of colleagues; Building something that's significant,Writing my CV and keeping it updated,10%,Be more flexible about interview scheduling; Fewer brainteasers; Prepare me for who I will be speaking with,,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,Disagree completely,Agree somewhat,Neutral,Disagree somewhat,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,I don't care about this,Changing requirements; Unspecific requirements; Limited resources,To give help to others; To demonstrate that I'm good at what I do; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
22927,Twitter,Venezuela,South America,South America,40-49,44.5,Male,Developer; Engineer; Programmer; Manager; Hacker,Analyst,Analyst,11+ years,13.0,"Less than $10,000",5000.0,,LAMP; MongoDB; PHP; WordPress,"Cloud (AWS, GAE, Azure, etc.); Dart; Go; MongoDB; Node.js; Ruby; Swift; WordPress",No,7.0,Self-employed,Internet,1-4 employees,1-4 people,0,Part-time remote,I love my job,Self-employed - I created my own job,Atom; Sublime; Vim,Once a day,1-2 hours per week,Dogs,Mint,I don't know,I'm not sure,Multiple times a day,I'm curious,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Tech stack; Work/life balance; Company culture,Finding an open job that I'm qualified for,100%,Show me more live code; Offer remote interviews (e.g. via video conference); Prepare me for who I will be speaking with,Star Wars,Agree completely,Disagree somewhat,Agree completely,Agree completely,Agree completely,Disagree completely,,Disagree somewhat,Neutral,Agree somewhat,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is very important,I don't care about this,Inefficient development processes; Fragile code base; Unrealistic expectations; Poor documentation; Corporate policies; Non-technical management; Changing requirements,To get help for my job; To give help to others; Beacause I love to learn
51482,Twitter,Vietnam,South-Eastern Asia,Southeast Asia,25-29,27.0,Male,Developer; Programmer; Sr. Developer; Full-stack Developer,Mobile developer,"Mobile Dev (Android, iOS, WP & Multi-Platform)",2 - 5 years,3.5,"Less than $10,000",5000.0,,Android; Java; JavaScript; Node.js; Redis; Ruby; SQL,iOS; Swift,Yes,6.0,Employed full-time,Software Products,5-9 employees,1-4 people,0,I rarely work remotely,I love my job,A friend referred me,Android Studio; IntelliJ,Multiple times a day,5-10 hours per week,Dogs,Mac OS X,No,101 - 500,Once a month,I'm curious,I'm self-taught; On-the-job training,"I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Job title,Searching for a job that seems interesting,20%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Show me the space in which I will work,Star Wars,Agree completely,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Disagree completely,Agree somewhat,Neutral,Neutral,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,Non-technical management; Interacting with non-technical people; Poor infrastructure or equipment,To get help for my job; To give help to others; Beacause I love to learn
5679,Twitter,,,,25-29,27.0,,Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6296,Twitter,,,,35-39,37.0,Male,Developer,Back-end web developer,Back-end web developer,6 - 10 years,8.0,"$30,000 - $40,000",35000.0,,Python,Python,No,5.0,Employed full-time,Web Services,10-19 employees,5-9 people,0,Full-time remote,I'm somewhat dissatisfied with my job,Twitter,Vim,Multiple times a day,2-5 hours per week,,Other Linux,Yes,I'm not sure,Once a week,I'm curious,I'm self-taught; On-the-job training; Part-time program (e.g. night school),,,,,,,,,,,,,,,,,,,,,,,,,,,,
13371,Twitter,,,,30-34,32.0,Male,Developer; Programmer; Ninja; Expert; Hacker,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,,,,Android; C; C++; C#; iOS; Java; JavaScript; Objective-C; PHP; Python; SQL; SQL Server; WordPress,AngularJS; CoffeeScript; Windows Phone,Yes,8.0,Employed full-time,Web Services,5-9 employees,5-9 people,3,I rarely work remotely,I'm somewhat satisfied with my job,Career fair,PhpStorm,Multiple times a day,2-5 hours per week,Cats,Mac OS X,Yes,101 - 500,Once a day,I'm curious,I'm self-taught,I am not interested in new job opportunities,Company reputation; Remote working option,Searching for a job that seems interesting,40%,Show me more live code; Introduce me to the team,Star Wars; Star Trek,Agree completely,Agree somewhat,Agree completely,Agree completely,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,Fragile code base; Poor scheduling; Unrealistic expectations; Outdated technologies; Interacting with non-technical people; Poor infrastructure or equipment; Trying to be nice,To give help to others; whyso_onlinepresence; To communicate with others like me; Beacause I love to learn
17813,Twitter,,,,,,,,,,6 - 10 years,8.0,,,,Ruby,,Yes,10.0,Employed full-time,Education,,,,,,,Atom; TextMate; Vim,Multiple times a day,20+ hours per week,,Mac OS X,Yes,"10,001+",Once a week,I'm curious,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),,,,,,Star Trek,,,,,,,,,,,,,,,,,,,,,Poor team dynamics,I don't really use Stack Overflow. I just take surveys.
